Country,Year,Secure Internet Servers by Million Population
Ireland,2012,1003.510652
Ireland,2013,718.5632391
Israel,2007,227.9912536
Israel,2008,272.6849825
Israel,2009,289.2219729
Israel,2010,396.6629939
Israel,2011,470.1382987
Israel,2012,396.3087036
Israel,2013,270.3675212
Italy,2007,74.09522965
Italy,2008,94.37886324
Italy,2009,111.3623717
Italy,2010,157.5642205
Italy,2011,195.3369422
Italy,2012,212.8831079
Italy,2013,203.2220939
Jamaica,2007,28.54480464
Jamaica,2008,31.81216302
Jamaica,2009,35.80237981
Jamaica,2010,39.39313757
Jamaica,2011,48.5214298
Jamaica,2012,51.33309082
Jamaica,2013,44.56721915
Japan,2007,399.2541329
Japan,2008,471.6765421
Japan,2009,519.5990986
Japan,2010,649.8446585
Japan,2011,743.9291638
Japan,2012,750.0461209
Japan,2013,736.6657442
Jordan,2007,6.006006006
Jordan,2008,8.987210508
Jordan,2009,12.17244294
Jordan,2010,19.84783328
Jordan,2011,25.23863453
Jordan,2012,29.28141817
Jordan,2013,26.93915467
Kazakhstan,2007,1.033311909
Kazakhstan,2008,1.977797627
Kazakhstan,2009,3.231278578
Kazakhstan,2010,5.207828825
Kazakhstan,2011,6.341881787
Kazakhstan,2012,7.384721666
Kazakhstan,2013,9.391044747
Kenya,2007,0.821141936
Kenya,2008,1.057429322
Kenya,2009,1.305721213
Kenya,2010,2.566660199
Kenya,2011,3.140771446
Kenya,2012,4.168776048
Kenya,2013,4.779760043
Malawi,2007,0.145838945
Malawi,2008,0.141460653
Malawi,2009,0.274473837
Malawi,2010,0.26642344
Malawi,2011,0.388160308
Malawi,2012,0.880144278
Malawi,2013,0.916726575
Malaysia,2007,21.85440276
Malaysia,2008,27.0306422
Malaysia,2009,33.21299888
Malaysia,2010,41.66101549
Malaysia,2011,54.62643861
Malaysia,2012,65.66363863
Malaysia,2013,66.83051247
Mali,2007,0.31432631
Mali,2008,0.532793477
Mali,2009,0.516250991
Mali,2010,0.78650298
Mali,2011,1.040457352
Mali,2012,1.0098581
Mali,2013,1.045638869
Mauritius,2007,42.05004272
Mauritius,2008,59.91021351
Mauritius,2009,61.95922926
Mauritius,2010,86.65619506
Mauritius,2011,116.636121
Mauritius,2012,134.7618085
Mauritius,2013,127.285056
Mexico,2007,12.36679502
Mexico,2008,14.49968195
Mexico,2009,15.91613296
Mexico,2010,19.82416904
Mexico,2011,25.79564506
Mexico,2012,28.0684387
Mexico,2013,26.45251811
Morocco,2007,1.076072242
